habitaciones;baÒos;parqueaderos;area_construida_m2;area_privada_m2;estrato;estado;antig¸edad_aÒos;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Porteria/ Recepcion;Zonas Verdes;Salon Comunal;Balcon;Barra estilo americano;Calentador;Chimenea;Citofono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Deposito / Bodega;nombre;ubicacion;precio
2;2;1;93;93;5;Excelente;9 a 15  ;†450.000 COP;†5.913.978,49  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;3;210;210;6;Bueno;16 a 30  ;†1.264.000 COP;†3.714.285,71  ;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chico Navarra;780000000
3;2;0;78;78;3;Excelente;9 a 15  ;†130.000 COP;†3.012.820,51  ;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Suba Compartir;235000000
9;6;1;418;0;3;Bueno;mas de 30  ;No definida;†2.153.110,05  ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;La EspaÒola;900000000
3;3;2;116;116;5;Excelente;1 a 8  ;†990.000 COP;†6.293.103,45  ;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;Apartamento;Santa Paula;730000000
5;4;2;460;250;4;No definida;mas de 30  ;No definida;†2.173.913,04  ;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Normandia;1000000000
4;3;1;130;130;3;Excelente;menor a 1 ;No definida;†2.692.307,69  ;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;Casa;Zona Noroccidente;350000000
2;2;2;66;66;6;Bueno;1 a 8  ;†700.000 COP;†9.393.939,39  ;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Santa Barbara;620000000
3;2;2;103;0;4;Excelente;menor a 1 ;†370.000 COP;†6.019.417,48  ;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Santa teresa;620000000
3;2;1;82;72;5;Excelente;mas de 30  ;†549.000 COP;†5.853.658,54  ;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Bella Suiza;480000000
2;3;2;133;133;6;No definida;16 a 30  ;†910.000 COP;†5.263.157,89  ;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Santa Barbara;700000000
2;3;2;95;95;6;Excelente;16 a 30  ;†545.000 COP;†5.789.473,68  ;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Chico;550000000
